開始フレーム,終了フレーム,フォーメーション
18800,19587,1-5_right
19704,20828,1-5_left
21297,21613,1-5_right
22105,22493,1-5_left
22673,23522,1-5_right
23806,24918,1-5_left
24933,26211,1-5_right
26274,26633,1-5_left
26673,26979,1-5_left
26988,27125,1-5_left
27144,27267,1-5_left
27771,28526,1-5_left
28828,29960,1-5_right
30057,30559,1-5_left
30677,31680,1-5_right
32112,32866,1-5_left
33200,33506,1-5_right
33832,33926,1-5_left
33991,35714,0-6_right
35868,36355,1-5_left
36379,37518,1-5_right
37760,38204,1-5_left
38702,39343,1-5_right
39524,39788,1-5_left
39809,40063,0-6_left
40191,40668,1-5_left
40675,40864,1-5_left
41205,41581,1-5_left
41645,41716,1-5_left
42256,42470,1-5_left
42568,43049,1-5_right
43526,43914,1-5_left
44094,44862,1-5_right
45130,45358,1-5_left
45735,47123,1-5_right
47498,47565,1-5_left
47603,47655,1-5_right
47697,48398,1-5_left
48447,48810,1-5_left
48831,49401,1-5_left
49422,49525,1-5_left
49956,51202,1-5_left
51347,51916,1-5_right
52052,52965,1-5_left
53176,53929,1-5_right
54190,54548,1-5_left
54918,56329,1-5_right
56367,57034,1-5_left
57194,57970,1-5_right
58385,58587,1-5_left
58819,59441,1-5_right
59502,60166,1-5_left
60256,62932,1-5_right
63034,64203,1-5_left
64427,65610,1-5_right
65741,66140,1-5_left
66273,66372,0-6_left
66537,68034,1-5_left
68159,69836,1-5_right
69892,70204,1-5_left
70459,70574,1-5_left
